kurzbezeichnung;wahlkreis_id;jahr;anzahl
FREIE WÄHLER;12;2017;1625
MLPD;12;2017;231
BGE;12;2017;416
ÖDP;12;2017;147
Die PARTEI;12;2017;1363
Tierschutzpartei;12;2017;1793
PIRATEN;12;2017;0
CDU;13;2017;48841
DIE LINKE;13;2017;24409
SPD;13;2017;25029
AfD;13;2017;25688
GRÜNE;13;2017;5521
NPD;13;2017;1642
FDP;13;2017;9008
FREIE WÄHLER;13;2017;1216
MLPD;13;2017;194
BGE;13;2017;355
ÖDP;13;2017;213
Die PARTEI;13;2017;1188
Tierschutzpartei;13;2017;1807
PIRATEN;13;2017;0
CDU;14;2017;49433
DIE LINKE;14;2017;33575
SPD;14;2017;25650
AfD;14;2017;25171
GRÜNE;14;2017;10229
NPD;14;2017;907
FDP;14;2017;10661
FREIE WÄHLER;14;2017;955
MLPD;14;2017;303
BGE;14;2017;564
ÖDP;14;2017;349
Die PARTEI;14;2017;2517
Tierschutzpartei;14;2017;2008
PIRATEN;14;2017;0
CDU;15;2017;55110
DIE LINKE;15;2017;30107
SPD;15;2017;20405
AfD;15;2017;32881
GRÜNE;15;2017;8498
NPD;15;2017;1368
FDP;15;2017;11490
FREIE WÄHLER;15;2017;1232
MLPD;15;2017;249
BGE;15;2017;692
ÖDP;15;2017;194
Die PARTEI;15;2017;1867
Tierschutzpartei;15;2017;3319
PIRATEN;15;2017;0
CDU;16;2017;51789
DIE LINKE;16;2017;27246
SPD;16;2017;19064
AfD;16;2017;35595
GRÜNE;16;2017;4068
NPD;16;2017;3148
FDP;16;2017;8659
FREIE WÄHLER;16;2017;1092
MLPD;16;2017;169
BGE;16;2017;548
ÖDP;16;2017;141
Die PARTEI;16;2017;1340
Tierschutzpartei;16;2017;1954
PIRATEN;16;2017;0
CDU;17;2017;51007
DIE LINKE;17;2017;24102
SPD;17;2017;20594
AfD;17;2017;27382
GRÜNE;17;2017;4592
NPD;17;2017;1643
FDP;17;2017;8198
FREIE WÄHLER;17;2017;1423
MLPD;17;2017;220
BGE;17;2017;459
ÖDP;17;2017;161
Die PARTEI;17;2017;1034
Tierschutzpartei;17;2017;1626
PIRATEN;17;2017;0
SPD;18;2017;41551
CDU;18;2017;40909
GRÜNE;18;2017;25164
DIE LINKE;18;2017;26109
FDP;18;2017;16255
AfD;18;2017;13940
NPD;18;2017;348
Die PARTEI;18;2017;3945
FREIE WÄHLER;18;2017;744
ÖDP;18;2017;613
MLPD;18;2017;181
BGE;18;2017;1105
DiB;18;2017;976
DKP;18;2017;113
Tierschutzpartei;18;2017;1817
V-Partei³;18;2017;523
PIRATEN;18;2017;0
SPD;19;2017;29680
CDU;19;2017;36139
GRÜNE;19;2017;26036
DIE LINKE;19;2017;22766
FDP;19;2017;16306
AfD;19;2017;8028
NPD;19;2017;150
Die PARTEI;19;2017;2374
FREIE WÄHLER;19;2017;341
ÖDP;19;2017;284
MLPD;19;2017;149
BGE;19;2017;787
DiB;19;2017;722
DKP;19;2017;87
Tierschutzpartei;19;2017;1093
V-Partei³;19;2017;284
PIRATEN;19;2017;0
SPD;20;2017;34575
CDU;20;2017;41826
GRÜNE;20;2017;26372
DIE LINKE;20;2017;19290
FDP;20;2017;17463
AfD;20;2017;9138
NPD;20;2017;184
Die PARTEI;20;2017;2427
FREIE WÄHLER;20;2017;327
ÖDP;20;2017;442
MLPD;20;2017;126
BGE;20;2017;605
DiB;20;2017;738
DKP;20;2017;92
Tierschutzpartei;20;2017;1262
V-Partei³;20;2017;336
PIRATEN;20;2017;0
SPD;21;2017;38150
CDU;21;2017;55737
GRÜNE;21;2017;25584
DIE LINKE;21;2017;16720
FDP;21;2017;24652
AfD;21;2017;10963
NPD;21;2017;180
Die PARTEI;21;2017;2042
FREIE WÄHLER;21;2017;556
ÖDP;21;2017;340
MLPD;21;2017;63
BGE;21;2017;579
DiB;21;2017;630
DKP;21;2017;72
Tierschutzpartei;21;2017;1245
V-Partei³;21;2017;361
PIRATEN;21;2017;0
SPD;22;2017;45542
CDU;22;2017;49482
GRÜNE;22;2017;17773
DIE LINKE;22;2017;16847
FDP;22;2017;17621
AfD;22;2017;16732
NPD;22;2017;425
Die PARTEI;22;2017;2096
FREIE WÄHLER;22;2017;807
ÖDP;22;2017;436
MLPD;22;2017;65
BGE;22;2017;689
DiB;22;2017;557
DKP;22;2017;61
Tierschutzpartei;22;2017;1835
V-Partei³;22;2017;333
PIRATEN;22;2017;0
SPD;23;2017;40364
CDU;23;2017;42219
GRÜNE;23;2017;15442
DIE LINKE;23;2017;17344
FDP;23;2017;13313
AfD;23;2017;17710
NPD;23;2017;512
Die PARTEI;23;2017;2504
FREIE WÄHLER;23;2017;683
ÖDP;23;2017;663
MLPD;23;2017;104
BGE;23;2017;808
DiB;23;2017;576
DKP;23;2017;86
Tierschutzpartei;23;2017;1561
V-Partei³;23;2017;332
PIRATEN;23;2017;0
CDU;24;2017;39552
SPD;24;2017;53353
GRÜNE;24;2017;10503
DIE LINKE;24;2017;10142
FDP;24;2017;10079
AfD;24;2017;12877
PIRATEN;24;2017;568
NPD;24;2017;357
Tierschutzpartei;24;2017;1162
FREIE WÄHLER;24;2017;760
MLPD;24;2017;35
BGE;24;2017;191
DiB;24;2017;123
DKP;24;2017;35
DM;24;2017;136
ÖDP;24;2017;77
Die PARTEI;24;2017;961
V-Partei³;24;2017;160
CDU;25;2017;74173
SPD;25;2017;48194
GRÜNE;25;2017;10258
DIE LINKE;25;2017;9459
FDP;25;2017;13629
AfD;25;2017;14620
PIRATEN;25;2017;491
NPD;25;2017;421
Tierschutzpartei;25;2017;1185
FREIE WÄHLER;25;2017;413
MLPD;25;2017;30
BGE;25;2017;159
DiB;25;2017;147
DKP;25;2017;21
DM;25;2017;144
ÖDP;25;2017;127
Die PARTEI;25;2017;1359
V-Partei³;25;2017;122
CDU;26;2017;45098
SPD;26;2017;42207
GRÜNE;26;2017;9984
DIE LINKE;26;2017;9738
FDP;26;2017;12958
AfD;26;2017;12490
PIRATEN;26;2017;377
NPD;26;2017;389
Tierschutzpartei;26;2017;1423
FREIE WÄHLER;26;2017;880
MLPD;26;2017;93
BGE;26;2017;175
DiB;26;2017;121
DKP;26;2017;30
DM;26;2017;177
ÖDP;26;2017;90
Die PARTEI;26;2017;1216
V-Partei³;26;2017;150
CDU;27;2017;53417
SPD;27;2017;45514
GRÜNE;27;2017;21821
DIE LINKE;27;2017;16351
FDP;27;2017;18136
AfD;27;2017;12625
PIRATEN;27;2017;682
NPD;27;2017;336
Tierschutzpartei;27;2017;1457
FREIE WÄHLER;27;2017;687
MLPD;27;2017;77
BGE;27;2017;372
DiB;27;2017;298
DKP;27;2017;57
DM;27;2017;264
ÖDP;27;2017;418
Die PARTEI;27;2017;1837
V-Partei³;27;2017;332
CDU;28;2017;56526
SPD;28;2017;47622
GRÜNE;28;2017;13525
DIE LINKE;28;2017;11567
FDP;28;2017;17076
AfD;28;2017;16392
PIRATEN;28;2017;605
NPD;28;2017;449
Tierschutzpartei;28;2017;1498
FREIE WÄHLER;28;2017;1094
MLPD;28;2017;46
BGE;28;2017;235
DiB;28;2017;157
DKP;28;2017;36
DM;28;2017;308
ÖDP;28;2017;154
Die PARTEI;28;2017;1302
V-Partei³;28;2017;227
CDU;29;2017;54163
SPD;29;2017;38923
GRÜNE;29;2017;9709
DIE LINKE;29;2017;9121
FDP;29;2017;11483
AfD;29;2017;12650
PIRATEN;29;2017;410
NPD;29;2017;396
Tierschutzpartei;29;2017;1338
FREIE WÄHLER;29;2017;907
MLPD;29;2017;26
BGE;29;2017;163
DiB;29;2017;100
DKP;29;2017;20
DM;29;2017;181
ÖDP;29;2017;106
Die PARTEI;29;2017;890
V-Partei³;29;2017;133
CDU;30;2017;59229
SPD;30;2017;37361
GRÜNE;30;2017;12511
DIE LINKE;30;2017;9564
FDP;30;2017;14538
AfD;30;2017;13513
PIRATEN;30;2017;645
NPD;30;2017;555
Tierschutzpartei;30;2017;1335
FREIE WÄHLER;30;2017;778
MLPD;30;2017;29
BGE;30;2017;262
DiB;30;2017;196
DKP;30;2017;23
DM;30;2017;193
ÖDP;30;2017;139
Die PARTEI;30;2017;1147
V-Partei³;30;2017;177
CDU;31;2017;88310
SPD;31;2017;41983
GRÜNE;31;2017;10803
DIE LINKE;31;2017;8167
FDP;31;2017;16181
AfD;31;2017;9701
PIRATEN;31;2017;385
NPD;31;2017;285
Tierschutzpartei;31;2017;939
FREIE WÄHLER;31;2017;271
MLPD;31;2017;35
BGE;31;2017;136
DiB;31;2017;134
DKP;31;2017;27
DM;31;2017;146
ÖDP;31;2017;238
Die PARTEI;31;2017;984
V-Partei³;31;2017;127
CDU;32;2017;86301
SPD;32;2017;28870
GRÜNE;32;2017;8207
DIE LINKE;32;2017;7145
FDP;32;2017;15298
AfD;32;2017;13145
PIRATEN;32;2017;381
NPD;32;2017;308
Tierschutzpartei;32;2017;803
FREIE WÄHLER;32;2017;530
MLPD;32;2017;21
BGE;32;2017;91
DiB;32;2017;105
DKP;32;2017;18
DM;32;2017;181
ÖDP;32;2017;110
Die PARTEI;32;2017;868
V-Partei³;32;2017;134
FAMILIE;32;2017;0
CDU;33;2017;55833
SPD;33;2017;37505
GRÜNE;33;2017;11992
DIE LINKE;33;2017;8951
FDP;33;2017;15515
AfD;33;2017;12434
PIRATEN;33;2017;476
NPD;33;2017;366
Tierschutzpartei;33;2017;1353
FREIE WÄHLER;33;2017;668
MLPD;33;2017;28
BGE;33;2017;258
DiB;33;2017;162
DKP;33;2017;17
DM;33;2017;206
ÖDP;33;2017;219
Die PARTEI;33;2017;1104
V-Partei³;33;2017;191
CDU;34;2017;53035
SPD;34;2017;40047
GRÜNE;34;2017;14052
DIE LINKE;34;2017;11055
FDP;34;2017;13464
AfD;34;2017;14675
PIRATEN;34;2017;560
NPD;34;2017;354
Tierschutzpartei;34;2017;1445
FREIE WÄHLER;34;2017;631
MLPD;34;2017;35
BGE;34;2017;343
DiB;34;2017;228
DKP;34;2017;19
DM;34;2017;284
ÖDP;34;2017;125
Die PARTEI;34;2017;1252
V-Partei³;34;2017;194
CDU;35;2017;47558
SPD;35;2017;34211
GRÜNE;35;2017;10068
DIE LINKE;35;2017;7422
FDP;35;2017;10699
AfD;35;2017;11671
PIRATEN;35;2017;396
NPD;35;2017;447
Tierschutzpartei;35;2017;1145
FREIE WÄHLER;35;2017;770
MLPD;35;2017;34
BGE;35;2017;188
DiB;35;2017;138
DKP;35;2017;10
DM;35;2017;219
ÖDP;35;2017;114
Die PARTEI;35;2017;877
V-Partei³;35;2017;137
CDU;36;2017;57815
SPD;36;2017;35377
GRÜNE;36;2017;16410
DIE LINKE;36;2017;10117
FDP;36;2017;18839
AfD;36;2017;16047
PIRATEN;36;2017;475
NPD;36;2017;358
Tierschutzpartei;36;2017;1632
FREIE WÄHLER;36;2017;1340
MLPD;36;2017;35
BGE;36;2017;209
DiB;36;2017;240
DKP;36;2017;31
DM;36;2017;201
ÖDP;36;2017;198
Die PARTEI;36;2017;1238
V-Partei³;36;2017;293
CDU;37;2017;43861
SPD;37;2017;32865
GRÜNE;37;2017;18906
DIE LINKE;37;2017;12705
FDP;37;2017;12959
AfD;37;2017;12498
PIRATEN;37;2017;486
NPD;37;2017;395
Tierschutzpartei;37;2017;1506
FREIE WÄHLER;37;2017;552
MLPD;37;2017;36
BGE;37;2017;881
DiB;37;2017;312
DKP;37;2017;36
DM;37;2017;263
ÖDP;37;2017;250
Die PARTEI;37;2017;1387
V-Partei³;37;2017;241
CDU;38;2017;60737
SPD;38;2017;38529
GRÜNE;38;2017;12346
DIE LINKE;38;2017;9156
FDP;38;2017;14603
AfD;38;2017;10940
PIRATEN;38;2017;490
NPD;38;2017;322
Tierschutzpartei;38;2017;958
FREIE WÄHLER;38;2017;381
MLPD;38;2017;19
BGE;38;2017;205
DiB;38;2017;140
DKP;38;2017;29
DM;38;2017;168
ÖDP;38;2017;119
Die PARTEI;38;2017;902
V-Partei³;38;2017;151
Bündnis C;38;2017;0
CDU;39;2017;53977
SPD;39;2017;37336
GRÜNE;39;2017;18353
DIE LINKE;39;2017;12759
FDP;39;2017;14309
AfD;39;2017;9499
PIRATEN;39;2017;702
NPD;39;2017;211
Tierschutzpartei;39;2017;933
FREIE WÄHLER;39;2017;344
MLPD;39;2017;28
BGE;39;2017;402
DiB;39;2017;264
DKP;39;2017;77
DM;39;2017;232
ÖDP;39;2017;173
Die PARTEI;39;2017;1361
V-Partei³;39;2017;209
CDU;40;2017;49896
SPD;40;2017;43307
GRÜNE;40;2017;11831
DIE LINKE;40;2017;8289
FDP;40;2017;12430
AfD;40;2017;14945
PIRATEN;40;2017;545
NPD;40;2017;406
Tierschutzpartei;40;2017;1467
FREIE WÄHLER;40;2017;469
MLPD;40;2017;46
BGE;40;2017;191
DiB;40;2017;171
DKP;40;2017;21
DM;40;2017;278
ÖDP;40;2017;119
Die PARTEI;40;2017;1066
V-Partei³;40;2017;177
CDU;41;2017;36401
SPD;41;2017;36645
GRÜNE;41;2017;16292
DIE LINKE;41;2017;12470
FDP;41;2017;13658
AfD;41;2017;12226
PIRATEN;41;2017;768
NPD;41;2017;244
Tierschutzpartei;41;2017;1222
FREIE WÄHLER;41;2017;409
MLPD;41;2017;78
BGE;41;2017;365
DiB;41;2017;297
DKP;41;2017;79
DM;41;2017;545
ÖDP;41;2017;162
Die PARTEI;41;2017;1768
V-Partei³;41;2017;220
CDU;42;2017;36203
SPD;42;2017;37964
GRÜNE;42;2017;22079
DIE LINKE;42;2017;17823
FDP;42;2017;14735
AfD;42;2017;11241
PIRATEN;42;2017;968
NPD;42;2017;186
Tierschutzpartei;42;2017;1342
FREIE WÄHLER;42;2017;355
MLPD;42;2017;127
BGE;42;2017;489
DiB;42;2017;470
DKP;42;2017;139
DM;42;2017;512
ÖDP;42;2017;186
Die PARTEI;42;2017;2966
V-Partei³;42;2017;306
CDU;43;2017;62828
SPD;43;2017;48783
GRÜNE;43;2017;14335
DIE LINKE;43;2017;10890
FDP;43;2017;18869
AfD;43;2017;18366
PIRATEN;43;2017;653
NPD;43;2017;406
Tierschutzpartei;43;2017;1516
FREIE WÄHLER;43;2017;830
MLPD;43;2017;59
BGE;43;2017;250
DiB;43;2017;228
DKP;43;2017;47
DM;43;2017;463
ÖDP;43;2017;154
Die PARTEI;43;2017;1450
V-Partei³;43;2017;249
CDU;44;2017;58858
SPD;44;2017;40899
GRÜNE;44;2017;12478
DIE LINKE;44;2017;9297
FDP;44;2017;16334
AfD;44;2017;17554
PIRATEN;44;2017;476
NPD;44;2017;438
Tierschutzpartei;44;2017;1436
FREIE WÄHLER;44;2017;888
MLPD;44;2017;49
BGE;44;2017;217
DiB;44;2017;176
DKP;44;2017;22
DM;44;2017;232
ÖDP;44;2017;145
Die PARTEI;44;2017;1331
V-Partei³;44;2017;176
CDU;45;2017;56567
SPD;45;2017;50445
GRÜNE;45;2017;12094
DIE LINKE;45;2017;10166
FDP;45;2017;14004
AfD;45;2017;18289
PIRATEN;45;2017;663
NPD;45;2017;463
Tierschutzpartei;45;2017;1591
FREIE WÄHLER;45;2017;581
MLPD;45;2017;97
BGE;45;2017;208
DiB;45;2017;185
DKP;45;2017;17
DM;45;2017;367
ÖDP;45;2017;123
Die PARTEI;45;2017;1454
V-Partei³;45;2017;259
Bündnis C;45;2017;0
CDU;46;2017;44424
SPD;46;2017;44190
GRÜNE;46;2017;9995
DIE LINKE;46;2017;9130
FDP;46;2017;12531
AfD;46;2017;14054
PIRATEN;46;2017;560
NPD;46;2017;411
Tierschutzpartei;46;2017;1285
FREIE WÄHLER;46;2017;390
MLPD;46;2017;33
BGE;46;2017;185
DiB;46;2017;125
DKP;46;2017;27
DM;46;2017;159
ÖDP;46;2017;109
Die PARTEI;46;2017;878
V-Partei³;46;2017;187
CDU;47;2017;58984
SPD;47;2017;55161
GRÜNE;47;2017;16290
DIE LINKE;47;2017;12305
FDP;47;2017;17925
AfD;47;2017;19392
PIRATEN;47;2017;936
NPD;47;2017;508
Tierschutzpartei;47;2017;1556
FREIE WÄHLER;47;2017;822
MLPD;47;2017;66
BGE;47;2017;250
DiB;47;2017;312
DKP;47;2017;34
DM;47;2017;396
ÖDP;47;2017;163
Die PARTEI;47;2017;1679
V-Partei³;47;2017;237
CDU;48;2017;54871
SPD;48;2017;52077
GRÜNE;48;2017;14806
DIE LINKE;48;2017;10932
FDP;48;2017;13876
AfD;48;2017;15695
PIRATEN;48;2017;593
NPD;48;2017;468
Tierschutzpartei;48;2017;1693
FREIE WÄHLER;48;2017;453
MLPD;48;2017;56
BGE;48;2017;320
DiB;48;2017;304
DKP;48;2017;32
DM;48;2017;305
ÖDP;48;2017;150
Die PARTEI;48;2017;1445
V-Partei³;48;2017;221
CDU;49;2017;45985
SPD;49;2017;50482
GRÜNE;49;2017;10213
DIE LINKE;49;2017;11266
FDP;49;2017;12450
AfD;49;2017;19115
PIRATEN;49;2017;684
NPD;49;2017;606
Tierschutzpartei;49;2017;1591
FREIE WÄHLER;49;2017;531
MLPD;49;2017;74
BGE;49;2017;207
DiB;49;2017;197
DKP;49;2017;31
DM;49;2017;430
ÖDP;49;2017;117
Die PARTEI;49;2017;1557
V-Partei³;49;2017;183
CDU;50;2017;42534
SPD;50;2017;38695
GRÜNE;50;2017;17295
DIE LINKE;50;2017;13673
FDP;50;2017;14684
AfD;50;2017;12268
PIRATEN;50;2017;905
NPD;50;2017;308
Tierschutzpartei;50;2017;1423
FREIE WÄHLER;50;2017;413
MLPD;50;2017;130
BGE;50;2017;394
DiB;50;2017;390
DKP;50;2017;30
DM;50;2017;298
ÖDP;50;2017;223
Die PARTEI;50;2017;2698
V-Partei³;50;2017;296
CDU;51;2017;47037
SPD;51;2017;40740
GRÜNE;51;2017;8064
DIE LINKE;51;2017;9050
FDP;51;2017;10988
AfD;51;2017;14862
PIRATEN;51;2017;592
NPD;51;2017;623
Tierschutzpartei;51;2017;1307
FREIE WÄHLER;51;2017;455
MLPD;51;2017;82
BGE;51;2017;138
DiB;51;2017;141
DKP;51;2017;36
DM;51;2017;276
ÖDP;51;2017;198
Die PARTEI;51;2017;1229
V-Partei³;51;2017;194
CDU;52;2017;48131
SPD;52;2017;48016
GRÜNE;52;2017;9929
DIE LINKE;52;2017;9521
FDP;52;2017;13734
AfD;52;2017;15132
PIRATEN;52;2017;426
NPD;52;2017;595
Tierschutzpartei;52;2017;1512
FREIE WÄHLER;52;2017;513
MLPD;52;2017;36
BGE;52;2017;199
DiB;52;2017;173
DKP;52;2017;27
DM;52;2017;329
ÖDP;52;2017;102
Die PARTEI;52;2017;1246
V-Partei³;52;2017;169
CDU;53;2017;51177
SPD;53;2017;47871
GRÜNE;53;2017;19676
DIE LINKE;53;2017;14748
FDP;53;2017;15421
AfD;53;2017;13446
PIRATEN;53;2017;785
NPD;53;2017;423
Tierschutzpartei;53;2017;1434
FREIE WÄHLER;53;2017;1063
MLPD;53;2017;76
BGE;53;2017;401
DiB;53;2017;315
DKP;53;2017;72
DM;53;2017;253
ÖDP;53;2017;163
Die PARTEI;53;2017;1776
V-Partei³;53;2017;224
SPD;54;2017;45729
CDU;54;2017;48458
GRÜNE;54;2017;23568
DIE LINKE;54;2017;26425
AfD;54;2017;15539
FDP;54;2017;19138
PIRATEN;54;2017;1007
NPD;54;2017;264
Die PARTEI;54;2017;3093
FREIE WÄHLER;54;2017;488
MLPD;54;2017;154
BGE;54;2017;1124
DKP;54;2017;94
DM;54;2017;314
MENSCHLICHE WELT;54;2017;392
V-Partei³;54;2017;589
Tierschutzpartei;54;2017;0
SPD;55;2017;43215
CDU;55;2017;34951
GRÜNE;55;2017;13165
DIE LINKE;55;2017;18204
AfD;55;2017;17705
FDP;55;2017;11918
PIRATEN;55;2017;951
NPD;55;2017;599
Die PARTEI;55;2017;2418
FREIE WÄHLER;55;2017;706
MLPD;55;2017;119
BGE;55;2017;680
DKP;55;2017;80
DM;55;2017;293
MENSCHLICHE WELT;55;2017;513
V-Partei³;55;2017;430
Tierschutzpartei;55;2017;0
CDU;56;2017;35215
SPD;56;2017;24884
DIE LINKE;56;2017;19447
AfD;56;2017;22183
GRÜNE;56;2017;4231
NPD;56;2017;1022
FDP;56;2017;6555
FREIE WÄHLER;56;2017;1171
MLPD;56;2017;209
BGE;56;2017;366
DKP;56;2017;74
DM;56;2017;273
ÖDP;56;2017;155
Die PARTEI;56;2017;1195
Tierschutzpartei;56;2017;1428
PIRATEN;56;2017;0
CDU;57;2017;36160
SPD;57;2017;21650
DIE LINKE;57;2017;23870
AfD;57;2017;26605
GRÜNE;57;2017;5187
NPD;57;2017;1267
FDP;57;2017;7021
FREIE WÄHLER;57;2017;1518
MLPD;57;2017;86
BGE;57;2017;567
DKP;57;2017;230
DM;57;2017;483
ÖDP;57;2017;174
Die PARTEI;57;2017;1451
Tierschutzpartei;57;2017;1744
PIRATEN;57;2017;0
CDU;58;2017;51968
SPD;58;2017;33856
DIE LINKE;58;2017;26091
AfD;58;2017;33987
GRÜNE;58;2017;11684
NPD;58;2017;1476
FDP;58;2017;13912
FREIE WÄHLER;58;2017;1770
MLPD;58;2017;100
BGE;58;2017;613
DKP;58;2017;217
DM;58;2017;519
ÖDP;58;2017;299
Die PARTEI;58;2017;2415
Tierschutzpartei;58;2017;3703
PIRATEN;58;2017;0
CDU;59;2017;42113
SPD;59;2017;25908
DIE LINKE;59;2017;34632
AfD;59;2017;34701
GRÜNE;59;2017;7800
NPD;59;2017;1243
FDP;59;2017;11007
FREIE WÄHLER;59;2017;2566
MLPD;59;2017;105
BGE;59;2017;737
DKP;59;2017;445
DM;59;2017;486
ÖDP;59;2017;296
Die PARTEI;59;2017;2303
Tierschutzpartei;59;2017;3354
PIRATEN;59;2017;0
CDU;60;2017;35556
SPD;60;2017;26055
DIE LINKE;60;2017;20925
AfD;60;2017;22633
GRÜNE;60;2017;5238
NPD;60;2017;1132
FDP;60;2017;8194
FREIE WÄHLER;60;2017;1520
MLPD;60;2017;78
BGE;60;2017;514
DKP;60;2017;239
DM;60;2017;429
ÖDP;60;2017;192
Die PARTEI;60;2017;1337
Tierschutzpartei;60;2017;2103
PIRATEN;60;2017;0
CDU;61;2017;48015
SPD;61;2017;35773
DIE LINKE;61;2017;35106
AfD;61;2017;26133
GRÜNE;61;2017;19079
NPD;61;2017;682
FDP;61;2017;17768
FREIE WÄHLER;61;2017;1606
MLPD;61;2017;146
BGE;61;2017;1073
DKP;61;2017;328
DM;61;2017;662
ÖDP;61;2017;432
Die PARTEI;61;2017;3410
Tierschutzpartei;61;2017;3656
PIRATEN;61;2017;0
CDU;62;2017;49982
SPD;62;2017;32565
DIE LINKE;62;2017;29217
AfD;62;2017;38915
GRÜNE;62;2017;8617
NPD;62;2017;1468
FDP;62;2017;13718
FREIE WÄHLER;62;2017;2652
MLPD;62;2017;90
BGE;62;2017;610
DKP;62;2017;341
DM;62;2017;726
ÖDP;62;2017;314
Die PARTEI;62;2017;2239
Tierschutzpartei;62;2017;3456
PIRATEN;62;2017;0
CDU;63;2017;33888
SPD;63;2017;22702
DIE LINKE;63;2017;26202
AfD;63;2017;30477
GRÜNE;63;2017;5896
NPD;63;2017;1509
FDP;63;2017;9241
FREIE WÄHLER;63;2017;1764
MLPD;63;2017;231
